CASEB,data/Scotland/2017/PreferenceProfileReportWard14-HuntlyStrathbogieandHoweofAlford05052017154315.blt,6,5673,1892,inf
1Q,data/Scotland/2017/PreferenceProfile_Report_Ward_10_-_West_Garioch_05052017_154252.blt,6,4257,1420,1849
1Q,data/Scotland/2017/PreferenceProfile_Report_Ward_11_-_Inverurie_and_District_05052017_154256.blt,6,4818,1607,inf
CASEB,data/Scotland/2017/PreferenceProfile_Report_Ward_12_-_East_Garioch_05052017_154301.blt,6,4559,1520,inf
1Q,data/Scotland/2017/PreferenceProfile_Report_Ward_13_-_Westhill_and_District_05052017_154306.blt,7,5996,1999,841
1Q,data/Scotland/2017/PreferenceProfile_Report_Ward_15.blt,5,4759,1587,207
1Q,data/Scotland/2017/PreferenceProfile_Report_Ward_16_-_Banchory_and_Mid_Deeside_05052017_154325.blt,4,4780,1594,32
CASEC,data/Scotland/2017/PreferenceProfile_Report_Ward_17_-_North_Kincardine_05052017_154329.blt,7,5531,1844,inf
CASEB,data/Scotland/2017/PreferenceProfile_Report_Ward_18_-_Stonehaven_and_Lower_Deeside_05052017_154338.blt,7,5523,1842,inf
1Q,data/Scotland/2017/PreferenceProfile_Report_Ward_1_-_Banff_and_District_05052017_154206.blt,4,4171,1391,101
CASEB,data/Scotland/2017/PreferenceProfile_Report_Ward_1_-_Kirriemuir_and_Dean_05052017_151418.blt,6,4577,1526,inf
CASEB,data/Scotland/2017/PreferenceProfile_Report_Ward_1_-_Strathmartine_05052017_161614.blt,7,6095,2032,inf
CASEB,data/Scotland/2017/PreferenceProfile_Report_Ward_2_-_Brechin_and_Edzell_05052017_151425.blt,7,4211,1404,inf
CASEB,data/Scotland/2017/PreferenceProfile_Report_Ward_2_-_Lochee_05052017_161626.blt,10,5802,1935,inf
1Q,data/Scotland/2017/PreferenceProfile_Report_Ward_2_-_Troup_05052017_154210.blt,6,3427,1143,80
CASEB,data/Scotland/2017/PreferenceProfile_Report_Ward_3_-_Forfar_and_District_05052017_151428.blt,8,5523,1842,inf
CASEC,data/Scotland/2017/PreferenceProfile_Report_Ward_3_-_Fraserburgh_and_District_05052017_154213.blt,10,5100,1701,inf
1Q,data/Scotland/2017/PreferenceProfile_Report_Ward_3_-_West_End_05052017_161633.blt,9,5471,1824,69
1Q,data/Scotland/2017/PreferenceProfile_Report_Ward_4_-_Central_Buchan_05052017_154221.blt,5,4850,1617,58
CASEC,data/Scotland/2017/PreferenceProfile_Report_Ward_4_-_Coldside_05052017_161643.blt,10,5622,1875,inf
1Q,data/Scotland/2017/PreferenceProfile_Report_Ward_4_-_Monifieth_and_Sidlaw_05052017_151436.blt,5,6685,2229,47
CASEC,data/Scotland/2017/PreferenceProfile_Report_Ward_5_-_Carnoustie_and_District_05052017_151442_0.blt,7,5075,1692,inf
CASEC,data/Scotland/2017/PreferenceProfile_Report_Ward_5_-_Maryfield_05052017_161649.blt,7,4095,1366,inf
1Q,data/Scotland/2017/PreferenceProfile_Report_Ward_5_-_Peterhead_North_and_Rattray_05052017_154226.blt,6,4595,1532,74
1Q,data/Scotland/2017/PreferenceProfile_Report_Ward_6_-_Arbroath_West-Letham_and_Friockheim_05052017_151450.blt,5,6108,2037,318
CASEB,data/Scotland/2017/PreferenceProfile_Report_Ward_6_-_North_East_05052017_161655.blt,8,3826,1276,35
1Q,data/Scotland/2017/PreferenceProfile_Report_Ward_6_-_Peterhead_South_and_Cruden_05052017_154231.blt,6,3687,1230,510
CASEB,data/Scotland/2017/PreferenceProfile_Report_Ward_7_-_Arbroath_East_and_Lunan_05052017_151456.blt,8,3486,1163,inf
1Q,data/Scotland/2017/PreferenceProfile_Report_Ward_7_-_East_End_05052017_161658.blt,9,4438,1480,137
1Q,data/Scotland/2017/PreferenceProfile_Report_Ward_7_-_Turriff_and_District_05052017_154233.blt,5,4963,1655,inf
1Q,data/Scotland/2017/PreferenceProfile_Report_Ward_8_-_Mid_Formartine_05052017_154240.blt,7,5192,1731,inf
CASEB,data/Scotland/2017/PreferenceProfile_Report_Ward_8_-_Montrose_and_District_05052017_151459.blt,7,4928,1643,inf
CASEB,data/Scotland/2017/PreferenceProfile_Report_Ward_8_-_The_Ferry_05052017_161705.blt,9,8975,2992,inf
1Q,data/Scotland/2017/PreferenceProfile_Report_Ward_9_-_Ellon_and_District_05052017_154244.blt,5,5515,1839,inf
CASEB,data/Scotland/2017/Ward_10_East_Kilbride_East_Preference_Profile.blt,8,5068,1690,inf
CASEB,data/Scotland/2017/Ward_11_Rutherglen_South_Preference_Profile.blt,6,5806,1936,inf
CASEB,data/Scotland/2017/Ward_12_Rutherglen_Central_and_North_Preference_Profile.blt,7,5141,1714,1397
CASEB,data/Scotland/2017/Ward_13_Cambuslang_West_Preference_Profile.blt,8,5529,1844,inf
CASEB,data/Scotland/2017/Ward_14_Cambuslang_East_Preference_Profile.blt,8,4736,1579,inf
CASEB,data/Scotland/2017/Ward_15_Blantyre_Preference_Profile.blt,8,5362,1788,120
1Q,data/Scotland/2017/Ward_16_Bothwell_and_Uddingston_Preference_Profile.blt,6,5248,1750,inf
CASEB,data/Scotland/2017/Ward_17_Hamilton_North_and_East_Preference_Profile.blt,8,4790,1597,2990
CASEB,data/Scotland/2017/Ward_18_Hamilton_West_and_Earnock_Preference_Profile.blt,7,5352,1785,inf
CASEB,data/Scotland/2017/Ward_19_Hamilton_South_Preference_Profile.blt,7,7073,2358,75
CASEC,data/Scotland/2017/Ward_1_Clydesdale_West_Preference_Profile.blt,8,7246,2416,inf
CASEB,data/Scotland/2017/Ward_20_Larkhall_Preference_Profile.blt,9,6246,2083,inf
CASEC,data/Scotland/2017/Ward_2_Clydesdale_North_Preference_Profile.blt,7,6115,2039,inf
1Q,data/Scotland/2017/Ward_3_Clydesdale_East_Preference_Profile.blt,8,5431,1811,106
CASEB,data/Scotland/2017/Ward_4_Clydesdale_South_Preference_Profile.blt,9,5452,1818,inf
CASEB,data/Scotland/2017/Ward_5_Avondale_and_Stonehouse_Preference_Profile.blt,8,6546,2183,inf
1Q,data/Scotland/2017/Ward_6_East_Kilbride_South_Preference_Profile.blt,8,5227,1743,297
CASEB,data/Scotland/2017/Ward_7_East_Kilbride_Central_South_Preference_Profile.blt,7,5439,1814,116
CASEB,data/Scotland/2017/Ward_8_East_Kilbride_Central_North_Preference_Profile.blt,8,6199,2067,inf
1Q,data/Scotland/2017/Ward_9_East_Kilbride_West_Preference_Profile.blt,7,6342,2115,1323
CASEB,data/Scotland/2017/aberdeen17-01.blt,7,6608,2203,125
CASEB,data/Scotland/2017/aberdeen17-02.blt,9,7236,2413,inf
1Q,data/Scotland/2017/aberdeen17-03.blt,7,5043,1682,inf
1Q,data/Scotland/2017/aberdeen17-04.blt,8,4382,1461,inf
CASEB,data/Scotland/2017/aberdeen17-05.blt,8,4537,1513,inf
CASEB,data/Scotland/2017/aberdeen17-06.blt,9,3217,1073,392
CASEB,data/Scotland/2017/aberdeen17-07.blt,8,4755,1586,inf
CASEB,data/Scotland/2017/aberdeen17-08.blt,9,3622,1208,inf
1Q,data/Scotland/2017/aberdeen17-09.blt,8,6811,2271,inf
CASEC,data/Scotland/2017/aberdeen17-10.blt,6,7508,2503,inf
1Q,data/Scotland/2017/aberdeen17-11.blt,4,6116,2039,377
CASEB,data/Scotland/2017/aberdeen17-12.blt,10,5598,1867,inf
CASEB,data/Scotland/2017/aberdeen17-13.blt,8,5176,1726,inf
CASEB,data/Scotland/2017/argyll-bute17-02.blt,6,2800,934,inf
CASEB,data/Scotland/2017/argyll-bute17-03.blt,7,3307,1103,inf
CASEC,data/Scotland/2017/argyll-bute17-04.blt,8,3825,1276,inf
CASEB,data/Scotland/2017/argyll-bute17-05.blt,10,4149,1384,inf
CASEB,data/Scotland/2017/argyll-bute17-06.blt,6,3484,1162,inf
CASEB,data/Scotland/2017/argyll-bute17-07.blt,10,2925,976,inf
CASEB,data/Scotland/2017/argyll-bute17-08.blt,7,2477,826,inf
CASEB,data/Scotland/2017/argyll-bute17-09.blt,7,3365,1122,inf
1Q,data/Scotland/2017/argyll-bute17-10.blt,5,3861,1288,100
1Q,data/Scotland/2017/argyll-bute17-11.blt,8,2949,984,inf
CASEB,data/Scotland/2017/clacks17-001.blt,8,3774,1259,inf
CASEB,data/Scotland/2017/clacks17-002.blt,8,4032,1345,inf
CASEB,data/Scotland/2017/clacks17-003.blt,6,2577,860,59
CASEB,data/Scotland/2017/clacks17-004.blt,7,3694,1232,inf
1Q,data/Scotland/2017/clacks17-005.blt,6,3496,1166,162
1Q,data/Scotland/2017/dumgal17-01.blt,8,5270,1757,71
CASEB,data/Scotland/2017/dumgal17-02.blt,9,5382,1795,inf
