Verified	ASN
3	259
1	16
2	112
3	1287
3	506
2	707
2	129
1	14
3	438
3	80
3	69
3	146
3	165
3	250
2	152
3	395
3	819
3	108
1	289
3	417
3	860
2	137
3	239
1	115
3	783
3	209
2	151
2	144
3	137
3	199
2	299
3	357
3	835
3	435
2	103
1	36
2	289
2	1299
3	182
1	20
2	75
3	137
3	227
3	1206
2	193
2	1112
3	328
1	33
3	213
1	60
3	554
3	147
3	35
2	106
3	354
1	56
3	1358
3	114
3	56
1	50
2	285
1	61
2	72
3	57
3	280
3	770
2	735
3	404
3	139
3	236
3	985
3	141
3	309
3	564
2	100
3	87
3	133
1	37
2	116
2	2036
1	188
3	70
3	255
1	70
1	35
2	150
2	127
2	129
3	287
1	59
3	283
2	60
3	1311
2	284
3	358
3	332
3	105
2	1193
3	46
1	27
2	30
1	153
3	123
3	1584
2	323
3	68
2	101
1	70
3	188
3	1481
3	247
3	105
2	67
3	917
3	159
3	468
2	66
3	84
3	65
1	99
2	243
3	837
3	119
3	247
1	54
2	58
2	81
3	234
3	734
2	169
2	1853
3	245
3	590
3	403
1	25
3	163
3	197
3	1457
3	111
3	470
3	1654
2	135
3	129
2	180
3	553
2	113
3	418
3	209
3	96
2	110
3	160
2	104
3	775
2	84
3	656
3	282
3	199
2	96
3	135
2	42
3	164
2	775
3	378
3	176
3	152
3	535
2	309
3	326
3	261
3	978
3	308
3	245
2	111
3	362
1	84
3	366
2	77
2	241
3	91
2	204
3	839
2	143
3	152
3	338
3	189
2	125
2	229
2	79
1	39
2	253
2	82
2	40
2	96
1	20
2	27
3	187
3	88
3	70
3	193
3	178
3	1790
2	1255
3	287
2	80
3	76
1	30
3	89
2	52
2	290
3	265
3	369
3	1581
3	410
3	89
3	101
3	1039
2	60
3	123
3	96
2	143
2	135
3	81
3	118
3	501
3	252
3	227
3	133
1	204
2	116
3	427
3	170
1	120
2	962
3	168
2	153
3	155
3	66
3	486
2	125
3	73
3	247
3	1260
3	105
2	124
2	69
3	186
3	187
